name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1000900,2000912,,1,12,1,1,1,1,12
,2,2000912,3000917,,1,5,1,1,1,1,5
,3,3000917,4000930,,1,13,1,1,1,1,13
,4,1000916,2000931,,1,15,1,1,1,1,15
,5,2000931,2000933,,1,2,1,1,1,1,2
,6,2000933,3000943,,1,10,1,1,1,1,10
,7,3000943,3000945,,1,2,1,1,1,1,2
,8,3000945,4001000,,1,15,1,1,1,1,15
,9,1000908,2000923,,1,15,1,1,1,1,15
,10,2000923,2000925,,1,2,1,1,1,1,2
,11,2000925,3000935,,1,10,1,1,1,1,10
,12,3000935,3000937,,1,2,1,1,1,1,2
,13,3000937,4000952,,1,15,1,1,1,1,15
,14,1000924,2000940,,1,16,1,1,1,1,16
,15,2000940,2000942,,1,2,1,1,1,1,2
,16,2000942,3000953,,1,11,1,1,1,1,11
,17,3000953,3000955,,1,2,1,1,1,1,2
,18,3000955,4001011,,1,16,1,1,1,1,16
